sent,ent,target
"As required under 31 CFR § 1010.610(a), covered financial institutions should ensure that their due diligence programs, which address correspondent accounts maintained for FFIs, include appropriate, specific, risk- based, and, where necessary, enhanced policies, procedures, and controls that are reasonably designed to detect and report known or suspected money laundering activity conducted through or involving any correspondent account established, maintained, administered, or managed in the United States.","[('under 31', 'DATE'), ('CFR', 'ORG'), ('1010.610(a', 'CARDINAL'), ('the United States', 'GPE')]",0
"Furthermore, money services businesses (MSBs) have parallel requirements with respect to foreign agents or foreign counterparties, as described in FinCEN Interpretive Release 2004-1 (/sites/default/files/federal_register_notice/31cfr12142004.pdf), which clarifies that the AML program regulation requires MSBs to establish adequate and appropriate policies, procedures, and controls commensurate with the risk of money laundering and the financing of terrorism posed by their relationship with foreign agents or foreign counterparties.","[('AML', 'ORG')]",0
Additional information on these parallel requirements (covering both domestic and foreign agents and foreign counterparts) may be found in FinCEN’s Guidance on Existing AML Program Rule Compliance Obligations for MSB Principals with Respect to Agent Monitoring (/resources/statutes- regulations/guidance/guidance-existing-aml-program-rule-compliance-obligations).,"[('Respect', 'ORG')]",0
The United Nations (UN) continues to adopt several resolutions implementing economic and financial sanctions (https://www.un.org/securitycouncil/sanctions/information).,"[('The United Nations', 'ORG'), ('UN', 'ORG')]",0
"Member States are bound by the provisions of these UN Security Council Resolutions (UNSCRs), and certain provisions of these resolutions are especially relevant to financial institutions.","[('UN Security Council Resolutions', 'ORG')]",0
"In addition to UN sanctions, the U.S. Government maintains a robust sanctions program.","[('UN', 'ORG'), ('the U.S. Government', 'ORG')]",0
"For a description of current Oﬀice of Foreign Assets Control (OFAC) sanctions programs, please consult OFAC’s Sanctions Programs and Country Information (https://home.treasury.gov/policy-issues/financial-sanctions/sanctions- programs-and-country-information).","[('Oﬀice of Foreign Assets Control (OFAC', 'ORG'), ('OFAC’s Sanctions Programs and Country Information', 'ORG')]",0
"High-Risk Jurisdictions Subject to a Call for Action With respect to the FATF-identified High-Risk Jurisdictions Subject to a Call for Action, Burma remains in this category and the FATF urges jurisdictions to apply enhanced due diligence proportionate to the risks.","[('Burma', 'GPE'), ('FATF', 'ORG')]",0
"As a general matter, FinCEN advises U.S. financial institutions to apply enhanced due diligence when maintaining correspondent accounts for foreign banks operating under a banking license issued by a country designated by an intergovernmental group or organization of which the United States is a member, as noncooperative with respect to international anti-money laundering principles or procedures, and with which designation the U.S. representative to the group or organization concurs.","[('U.S.', 'GPE'), ('the United States', 'GPE'), ('U.S.', 'GPE')]",0
[6] U.S. financial institutions should continue to consult existing FinCEN and OFAC guidance on engaging in financial transactions with Burma.,"[('6', 'CARDINAL'), ('U.S.', 'GPE'), ('Burma', 'GPE')]",0
"[7] With respect to the FATF-identified High-Risk Jurisdictions Subject to a Call for Action, specifically, countermeasures, in the case of DPRK and Iran, U.S. financial institutions must comply with the extensive U.S. restrictions and prohibitions against opening or maintaining any correspondent accounts, directly or indirectly, for North Korean or Iranian financial institutions.","[('7', 'CARDINAL'), ('DPRK', 'ORG'), ('Iran', 'GPE'), ('U.S.', 'GPE'), ('U.S.', 'GPE'), ('North Korean', 'NORP'), ('Iranian', 'NORP')]",1
Existing U.S. sanctions and FinCEN regulations already prohibit any such correspondent account relationships.,"[('U.S.', 'GPE')]",1
The Government of Iran and Iranian financial institutions remain persons whose property and interests in property are blocked under E.O.,"[('Iranian', 'NORP'), ('E.O.', 'WORK_OF_ART')]",0
"13599 and section 560.211 of the Iranian Transactions and Sanctions Regulations (ITSR), 31 CFR Part 560.","[('13599', 'DATE'), ('section 560.211', 'LAW'), ('the Iranian Transactions and Sanctions Regulations', 'ORG'), ('31', 'CARDINAL'), ('CFR', 'ORG'), ('560', 'CARDINAL')]",0
"U.S. financial institutions and other U.S. persons continue to be broadly prohibited under the ITSR from engaging in transactions or dealings with Iran, the Government of Iran, and Iranian financial institutions, including opening or maintaining correspondent accounts for Iranian financial institutions.","[('U.S.', 'GPE'), ('U.S.', 'GPE'), ('Iran', 'GPE'), ('the Government of Iran', 'ORG'), ('Iranian', 'NORP'), ('Iranian', 'NORP')]",0
These sanctions impose obligations on U.S. persons that go beyond the relevant FATF recommendations.,"[('U.S.', 'GPE')]",0
"In addition to OFAC-administered sanctions, on October 25, 2019, FinCEN found Iran to be a Jurisdiction of Primary Money Laundering Concern and issued a final rule, pursuant to Section 311 of the USA PATRIOT Act, imposing the fih special measure available under Section 311 (/news/news-releases/imposition-fih-special-measure-against-islamic-republic-iran- jurisdiction).","[('October 25, 2019', 'DATE'), ('Iran', 'GPE'), ('Jurisdiction of Primary Money Laundering Concern', 'ORG'), ('Section 311', 'LAW'), ('Section 311', 'LAW')]",0
"This rule prohibits U.S. financial institutions from opening or maintaining correspondent accounts for, or on behalf of, an Iranian financial institution, and the use of foreign financial institutions’ correspondent accounts at covered United States financial institutions to process transactions involving Iranian financial institutions (31 CFR § 1010.661).","[('U.S.', 'GPE'), ('Iranian', 'NORP'), ('United States', 'GPE'), ('Iranian', 'NORP'), ('31', 'CARDINAL'), ('CFR §', 'ORG'), ('1010.661', 'CARDINAL')]",0
"For jurisdictions removed from the FATF listing and monitoring process, U.S. financial institutions should take the FATF’s decisions and the reasons behind the delisting into consideration when assessing risk, consistent with financial institutions’ obligations under 31 CFR § 1010.610(a) and 31 CFR § 1010.210.","[('FATF', 'ORG'), ('U.S.', 'GPE'), ('FATF', 'ORG'), ('under 31', 'DATE'), ('CFR', 'ORG'), ('1010.610(a', 'CARDINAL'), ('31', 'CARDINAL'), ('CFR § 1010.210', 'ORG')]",0
"If a financial institution knows, suspects, or has reason to suspect that a transaction involves funds derived from illegal activity or that a customer has otherwise engaged in activities indicative of money laundering, terrorist financing, or other violation of federal law or regulation, the financial institution must file a Suspicious Activity Report.","[('Suspicious Activity Report', 'WORK_OF_ART')]",0
*** Questions or comments regarding the contents of this release should be addressed to the FinCEN Regulatory Support Section at frc@fincen.gov (mailto:frc@fincen.gov).,"[('the FinCEN Regulatory Support Section', 'LAW')]",0
"[1] See FATF, “FATF Statement on the Russi an Federation (http s://www.fatf-gafi.org/en/publications/Fatfgeneral/fatf-statement-russian- federation-feb-2024.htm l)” (Feb. 23, 2024).","[('1', 'CARDINAL'), ('FATF Statement on the Russi an Federation', 'WORK_OF_ART'), ('Feb. 23, 2024', 'DATE')]",0
"See also FATF, “Outcomes FATF Plenary (http s://www.fatf- gafi.org/en/publications/Fatfgeneral/outcomes-fatf-plenary-february-2024.html)” (Feb. 23, 2024); U.S. Department of the Treasury Press Release, “FATF Advances Work to Combat Money Laundering and Terrorist Financing (http s://home.treasury.gov/news/press- releases/jy2120)” (Feb. 23, 2024).","[('FATF', 'ORG'), ('Outcomes FATF Plenary', 'WORK_OF_ART'), ('gafi.org/en/publications/Fatfgeneral/outcomes-fatf-plenary-february-2024.html', 'PERSON'), ('Feb. 23, 2024', 'DATE'), ('U.S. Department', 'ORG'), ('the Treasury Press Release', 'ORG'), ('FATF Advances Work to', 'WORK_OF_ART'), ('Combat Money Laundering and Terrorist Financing', 'ORG'), ('Feb. 23, 2024', 'DATE')]",0
"[2] See FATF, “FATF Statement on the Russi an Federation (http s://www.fatf-gafi.org/en/publications/Fatfgeneral/fatf-statement-russian- federation-feb-2024.htm l)” (Feb. 23, 2024).","[('2', 'CARDINAL'), ('FATF Statement on the Russi an Federation', 'WORK_OF_ART'), ('Feb. 23, 2024', 'DATE')]",0
"[3] See FATF, “Jurisdictions Under Increased Monitoring (http s://www.fatf-gafi.org/en/publications/High-risk-and-other-monitored- jurisdictions/Increased-monitoring-february-2024.html)” (Feb. 23, 2024); FATF, “High-Risk Jurisdictions Subject to a Call for Action (http s://www.fatf-gafi.org/en/publications/High-risk-and-other-monitored-jurisdictions/Call-for-action-february-2024.html)” (Feb. 23, 2024).","[('3', 'CARDINAL'), ('Jurisdictions Under Increased Monitoring', 'WORK_OF_ART'), ('Feb. 23, 2024', 'DATE'), ('FATF', 'ORG'), ('High-Risk Jurisdictions Subject', 'WORK_OF_ART'), ('Feb. 23, 2024', 'DATE')]",0
[4] FinCEN issue s these public statements about higher-risk countries as identified by the FATF to ensure that financial institutions are advised of concerns about weaknesses in the AML/CFT systems of certain jurisdictions.,"[('4', 'CARDINAL'), ('FATF', 'ORG'), ('AML', 'ORG'), ('CFT', 'ORG')]",0
"[5] The FATF notes in regard to Burma that “when applying enhanced due diligence measures, countries should ensure that flows of funds for hum anitarian assistance, legitimate NPO activity, and remittances are not disrupted.” See FATF, “High-Risk Jurisdictions Subject to a Call for Action (http s://www.fatf-gafi.org/en/publications/High-risk-and-other-monitored-jurisdictions/Call-for-action- february-2024.htm l)” (Feb. 23, 2024).","[('5', 'CARDINAL'), ('FATF', 'ORG'), ('Burma', 'GPE'), ('NPO', 'ORG'), ('High-Risk Jurisdictions Subject', 'WORK_OF_ART'), ('Feb. 23, 2024', 'DATE')]",0
[6] See 31 U.S.C.,"[('6', 'CARDINAL'), ('31', 'CARDINAL')]",0
§ 5318(i); 31 CFR § 1010.610(b) and (c).,"[('31', 'CARDINAL'), ('CFR', 'ORG'), ('1010.610(b', 'CARDINAL')]",0
"See also Financial Crimes Enforcement Network; Anti-Money Laundering Programs; Special Due Diligence Programs for Certain Foreign Accounts (http s://www.govinfo.gov/content/pkg/FR-2007-08-09/pdf/E7- 15467.pdf), 72 Fed.","[('Financial Crimes Enforcement Network', 'ORG'), ('Anti-Money Laundering Programs', 'ORG'), ('72', 'CARDINAL'), ('Fed', 'ORG')]",0
Reg.,"[('Reg', 'PERSON')]",0
"44,768 (Aug. 9, 2007).","[('44,768', 'CARDINAL'), ('Aug. 9, 2007', 'DATE')]",0
"LanguagesCasinos Depository Institutions Insurance Industry Money Services Businesses Mortgage Co/Broker Precious Metals/Jewelry Industry Securities and Futures[7] See FinCEN, Conditional Exception to Bank Secrecy Act Regulations Relating to the Burma Section 311 Final Rule (http s://www.fincen.gov/sites/default/files/shared/2016-25249.pdf) (Oct. 19, 2016); OFAC, Burma-Related Sanctions (http s://ofac.treasury.gov/sanctions-programs-and-country-information/burma); U.S. Department of State, Department of the Treasury, Department of Commerce, Department of Labor, Department of Homeland Security, and Oﬀice of the U.S. Trade Representative, “Risks and Considerations for Businesses and Individuals with Exposure to Entities Responsible for Undermining Democratic Processes, Facilitating Corruption, and Committing Human Rights Abuses in Burma (Myanmar) (http s://www.state.gov/risks-and-considerations- for-businesses-and-individuals-with-exposure-to-entities-responsible-for-undermining-democratic-processes-facilitating-corruption- and-committing-hum an-rights-abuses-in-burma/)” (Jan. 26, 2022).","[('LanguagesCasinos Depository Institutions Insurance Industry Money Services Businesses Mortgage Co/Broker Precious Metals/Jewelry Industry Securities', 'ORG'), ('Conditional Exception to Bank', 'ORG'), ('the Burma Section 311 Final Rule', 'LAW'), ('Oct. 19, 2016', 'DATE'), ('OFAC', 'ORG'), ('Burma-Related Sanctions', 'ORG'), ('U.S. Department of State', 'ORG'), ('Department of the Treasury', 'ORG'), ('Department of Commerce,', 'ORG'), ('Department of Labor', 'ORG'), ('Department of Homeland Security', 'ORG'), ('Oﬀice', 'ORG'), ('the U.S. Trade Representative', 'ORG'), ('Risks and Considerations for Businesses and Individuals with Exposure to Entities Responsible for Undermining Democratic Processes, Facilitating Corruption', 'WORK_OF_ART'), ('Burma', 'GPE'), ('Myanmar', 'GPE'), ('Jan. 26, 2022', 'DATE')]",0
Financial Institution: USA.gov (http s://www.USA.gov) | Regulations.gov (http s://www.Regulations.gov) | Treasury.gov (http s://www.treasury.gov) | IRS.gov (http s://www.IRS.gov) | Freedom o Information Act (FOIA) (/freedom-information-act-foia-and-guide-accessing-fincen-information) | NO FEAR Act (http s://home.treasury.gov/footer/no-fear-act) | Vote.gov (http s://vote.gov/) | Accessibility (/accessibility) | EEO & Diversity Policy (/equal-employment-opportunity-and-diversity-policy) | Privacy Policy (/privacy-security) | Public Posting Notice of Finding of Discrimination (http s://home.treasury.gov/footer/no-fear-act) | Security and Vulnerability Disclosure Policies (VDP) (/security-and- vulnerability-disclosure-policies) | Oﬀice of Inspector General (http s://oig.treasury.gov/)(http s://www.facebook.com/fincentreasury)(http s://www.linkedin.com/company/fincen)(http s://twitter.com/FinCENnews)(http s://www.youtube.com/@fincentreasuryHome (/) Resources (/resources) Contact (/contact) About (/what-we-do) Careers (/cutting-edge-opportunities) Newsroom (/news-room) Contract Opportunities (/about/contract-opportunities) Get News Updates (https://service.govdelivery.com/accounts/USFINCEN/subscriber/new),"[('Financial Institution', 'ORG'), ('Regulations.gov', 'ORG'), ('Regulations.gov', 'ORG'), ('Treasury.gov', 'ORG'), ('FOIA', 'ORG'), ('NO FEAR Act', 'LAW'), ('Vote.gov', 'GPE'), ('EEO & Diversity Policy', 'ORG'), ('VDP', 'ORG'), ('Oﬀice', 'ORG'), ('Newsroom', 'PERSON'), ('Get News Updates', 'WORK_OF_ART')]",0
