sent,ent
"6.41  A bank shall screen all wire transfer originators and wire transfer beneficiaries as defined  in paragraph 11, against lists and information provided by the Authority or any other  relevant authorities in Singapore for the purposes of determining if there are any money  laundering or terrorism financing risks in relation to any such persons.","[('paragraph 11', 'LAW'), ('Authority', 'ORG'), ('Singapore', 'GPE')]"
"6.41A  A bank shall screen all value transfer originators and value transfer beneficiaries as  defined in paragraph 11A, against lists and information provided by the Authority and any  other relevant authorities in Singapore for the purposes of determining i f there are any  money laundering or terrorism financing risks in relation to any such persons.","[('paragraph 11A', 'LAW'), ('Authority', 'ORG'), ('Singapore', 'GPE')]"
"6.43 For the purposes of paragraph  6:  (a) a reference to “transaction” shall include a digital token transaction ; and     (b) a reference to “lists and information provided by the Authority and other relevant  authorities in Singapore” does not include the platform screening list, as defined  in MAS Notice FSM -N02 on Prevention of Money Laundering and Countering of  Financing of Terrorism – Financial Institutions’ Information Sharing Platform .","[('6', 'CARDINAL'), ('Authority', 'ORG'), ('Singapore', 'GPE'), ('MAS Notice FSM -N02', 'LAW')]"
"22   8.7  A bank shall perform the appropriate enhanced CDD measures in paragraph 8.3 for  business relations with or transactions for any customer -  (a)  who the bank determines under paragraph 8.5; or   (b)  the Authority or other relevant authorities in Singapore notify to the bank,   as presenting a higher risk for money laundering or terrorism financing.","[('22', 'CARDINAL'), ('paragraph 8.3', 'LAW'), ('paragraph 8.5', 'LAW'), ('Authority', 'ORG'), ('Singapore', 'GPE')]"
"8.8  A bank shall, in taking enhanced CDD measures to manage and mitigate any higher risks  that have been identified by the bank, or notified to it by the Authority or other relevant  authorities in Singapore, ensure that the enhanced CDD measures take into  account the  requirements of any laws, regulations or directions administered by the Authority,  including but not limited to the regulations or directions issued by the Authority under  section 192 read with section 1 5(1)(b) of the FSM Act , and section 15(1 )(a) of the FSM  Act, respectively .","[('Authority', 'ORG'), ('Singapore', 'GPE'), ('Authority', 'ORG'), ('Authority', 'ORG'), ('section 192', 'LAW'), ('the FSM Act', 'LAW'), ('section 15(1 )(a)', 'LAW'), ('the FSM  Act', 'LAW')]"
"9  RELIANCE ON THIRD PARTIES   9.1 For the purposes of paragraph 9, “third party” means -  (a)  a financial institution set out in Appendix 2;   (b)  a financial institution which is subject to and supervised by a foreign authority for  compliance with AML/CFT requirements consistent with standards set by the  FATF (other than a holder of a payment services licence under the PS Act , or  equivalent licences);   (c) in relation to a bank incorporated in Singapore, its branches, subsidiaries, parent  entity, the branches and subsidiaries of the parent entity, and other related  corporations; or   (d)  in relation to a bank incorporated outside Singapore, its head office, its parent  entity, the branches and subsidiaries of the head office, the branches and  subsidiaries of the parent entity, and other related corporations.","[('THIRD', 'ORDINAL'), ('9', 'CARDINAL'), ('third', 'ORDINAL'), ('Appendix 2', 'LAW'), ('AML/CFT', 'LAW'), ('FATF', 'ORG'), ('the PS Act', 'LAW'), ('Singapore', 'GPE'), ('Singapore', 'GPE')]"
10  CORRESPONDENT BANKING   10.1  Paragraph 10 applies to a bank when it provides correspondent banking or other similar  services in Singapore to a bank or financial institution that is operating outside Singapore.,"[('10', 'CARDINAL'), ('Singapore', 'GPE'), ('Singapore', 'GPE')]"
"10.2  For the purposes of paragraph 10 -  “correspondent bank” means a bank in Singapore that provides or intends to provide  correspondent banking or other similar services;   “correspondent banking” means the provision of banking services by a correspondent  bank to a respondent bank;   “payable -through account” means an account maintained at the correspondent bank by  the respondent bank but which is accessible directly by a third party to effect transactions  on its own behalf;   “respondent financial institution” means a bank or financial institution, outside Singapore  to which correspondent banking or other similar services are provided;   24   “shell financial institution” means a bank or financial institution incorporated, formed or  established in a country or jurisdiction where the bank or financial institution has no  physical presence, and which is unaffiliated with a financial group that is subject to  effective consolidated supervision; and   “similar services” include services undertaken for securities transaction s, funds transfers  or digital token transactions, for the financial institution that is operating outside  Singapore, whether as principal or for its customers.","[('10', 'CARDINAL'), ('Singapore', 'GPE'), ('third', 'ORDINAL'), ('Singapore', 'GPE'), ('Singapore', 'GPE')]"
"10.3  A bank in Singapore shall perform the following measures, in addition to the measures  as required by paragraphs 6, 7 and 8, when providing correspondent banking or other  similar services:   (a) assess the suitability of the respondent financial institution by taking the following  steps:   (i)  gather adequate information about the respondent financial institution to  understand fully the nature of the respondent financial institution’s  business, including making appropriate inquiries on its management, its  major business activities and the c ountries or jurisdictions in which it  operates;   (ii)  determine from any available sources the reputation of the respondent  financial institution and the quality of supervision over the respondent  financial institution, including whether it has been the subject of money  laundering or terrorism financing  investigation or regulatory action; and   (iii)  assess the respondent financial institution’s AML/CFT controls and  ascertain that they are adequate and effective, having regard to the  AML/CFT measures of the country or jurisdiction in which the respondent  financial institution operates;   (b)  clearly understand and document the respective AML/CFT responsibilities of  each financial institution; and   (c)  obtain approval from the bank’s senior management before providing  correspondent banking or similar services to a new financial institution.","[('Singapore', 'GPE'), ('6', 'CARDINAL'), ('7', 'CARDINAL'), ('8', 'CARDINAL'), ('iii', 'CARDINAL')]"
"28   (2)  registered or business address, and if different, principal  place of business,   as may be appropriate;   (B)  the wire transfer originator’s unique national identification number  (such as an identity card number, birth certificate number or  passport number, or where the wire transfer originator is not a  natural person, the incorporation number or business reg istration  number);   (C) the date and place of birth, incorporation or registration of the wire  transfer originator (as may be appropriate); or   (b) include only the wire transfer originator’s account number (or unique transaction  reference number where no account number exists), provided -  (i)  that these details will permit the transaction to be traced back to the wire  transfer originator and wire transfer beneficiary;   (ii)  the ordering institution shall provide the wire transfer originator  information set out in paragraph 11.7(a) within 3 business days of a  request for such information by the beneficiary institution, by the Authority  or other relevant authorities in Si ngapore; and   (iii)  the ordering institution shall provide the wire transfer originator  information set out in paragraph 11.7(a) immediately upon request for  such information by law enforcement authorities in Singapore.","[('3 business days', 'DATE'), ('Authority', 'ORG'), ('Si ngapore', 'GPE'), ('Singapore', 'GPE')]"
"11A.5  In a value transfer where the amount to be transferred is below or equal to S$1,500, every  bank which is an ordering institution may, in the message or payment instruction that  accompanies or relates to the value transfer to an intermediary instituti on in Singapore,  include only the unique transaction reference number and the value transfer beneficiary  information set out in paragraphs 11A.4(c) and (d), provided that –  (a) the unique transaction reference number will permit the transaction to be traced  back to the value transfer originator and value transfer beneficiary;   (b) the ordering institution shall provide the value transfer originator information and  value transfer beneficiary information set out in paragraphs11.4(a) to (d) within 3  business days of a request for such information by the intermediary institution in  Singapore, the Authority or other relevant authorities in Singapore;   (c) the ordering institution shall provide the value transfer originator information and  value transfer beneficiary information set out in paragraphs 11.4(a) to (d)  immediately upon request for such information by law enforcement authorities in  Singapore; and   (d) the ordering institution shall provide the value transfer originator information and  value transfer beneficiary information set out in paragraphs 11.4(a) to (d) to the  beneficiary institution.","[('S$1,500', 'MONEY'), ('Singapore', 'GPE'), ('3  business days', 'DATE'), ('Singapore', 'GPE'), ('Authority', 'ORG'), ('Singapore', 'GPE'), ('Singapore', 'GPE')]"
"11A.8  In a value transfer where the amount to be transferred exceeds S$1,500, every bank  which is an ordering institution may, in the message or payment instruction that  accompanies or relates to the value transfer to an intermediary institution in Singapore,  include only the unique transaction reference number and the value transfer beneficiary  information required by paragraph 11A.69, provided that:   (a) the unique transaction reference number will permit the transaction to be traced  back to the value transfer originator and value transfer beneficiary;   (b) the ordering institution shall provide the value transfer originator information and  value transfer beneficiary information set out in paragraph 11A.610 within 3  business days of a request for such information by the intermediary institution in  Singapore, the Authority or other relevant authorities in Singapore;   (c) the ordering institution shall provide the value transfer originator information and  value transfer beneficiary information set out in paragraph 11A.611 immediately  upon request for such information by law enforcement authorities in Singapore;  and   (d) the ordering institution shall provide the value transfer originator information and  value transfer beneficiary information set out in paragraph 11A.6 to the beneficiary  institution.","[('S$1,500', 'MONEY'), ('Singapore', 'GPE'), ('paragraph 11A.69', 'LAW'), ('paragraph 11A.610', 'LAW'), ('3  business days', 'DATE'), ('Singapore', 'GPE'), ('Authority', 'ORG'), ('Singapore', 'GPE'), ('paragraph 11A.611', 'LAW'), ('Singapore', 'GPE'), ('paragraph 11A.6', 'LAW')]"
"11A.13  For value transfers where the beneficiary institution pays out the transferred digital  token(s) in cash or cash equivalent to the value transfer beneficiary in Singapore, a  beneficiary institution shall identify and verify the identity of the value transfer beneficiary  if the identity has not been previously verified.","[('Singapore', 'GPE')]"
"12.2  A bank shall perform the measures as required by paragraph 12.1 such that -  (a)  all requirements imposed by law (including this Notice) are met;   (b)  any individual transaction undertaken by the bank can be reconstructed (including  the amount and type of currency involved) so as to provide, if necessary, evidence  for prosecution of criminal activity;   (c)  the Authority or other relevant authorities in Singapore and the internal and  external auditors of the bank are able to review the bank's business relations,  transactions, records and CDD information and assess the level of compliance  with this Notice ; and   (d)  the bank can satisfy, within a reasonable time or any more specific time period  imposed by law or by the requesting authority, any enquiry or order from the  relevant authorities in Singapore for information.","[('paragraph 12.1', 'LAW'), ('Authority', 'ORG'), ('Singapore', 'GPE'), ('Singapore', 'GPE')]"
"35   12.4  A bank may retain data, documents and information as originals or copies, in paper or  electronic form or on microfilm, provided that they are admissible as evidence in a  Singapore court of law.","[('35   ', 'CARDINAL'), ('Singapore', 'GPE')]"
"12.5  A bank shall retain records of data, documents and information on all its business  relations with or transactions for a customer pertaining to a matter which is under  investigation or which has been the subject of an STR, in accordance with any reque st or  order from STRO or other relevant authorities in Singapore.","[('STRO', 'ORG'), ('Singapore', 'GPE')]"
"Group Policy   15.3  For the purposes of paragraphs 15.4 to 15.9, a reference to “bank” means a bank  incorporated in Singapore.","[('Group Policy   15.3', 'LAW'), ('15.4', 'CARDINAL'), ('15.9', 'CARDINAL'), ('Singapore', 'GPE')]"
"15.7A  For the purposes of paragraph 15.7, the information to be shared within the bank’s  financial group shall include any information and analysis of transactions or activities that  appear unusual.13  15.8  Where the AML/CFT requirements in the host country or jurisdiction differ from those in  Singapore, the bank shall require that the overseas branch or subsidiary apply the higher  of the two standards, to the extent that the law of the host country or jurisdiction so  permits.","[('15.7', 'CARDINAL'), ('Singapore', 'GPE'), ('two', 'CARDINAL')]"
"15.9  Where the law of the host country or jurisdiction conflicts with Singapore law such that  the overseas branch or subsidiary is unable to fully observe the higher standard, the bank  shall apply additional appropriate measures to manage the money launde ring and  terrorism financing risks, report this to the Authority and comply with such further  directions as may be given by the Authority.","[('Singapore', 'GPE'), ('Authority', 'ORG'), ('Authority', 'ORG')]"
"15.9A  In the case of a Singapore branch of a bank incorporated outside Singapore, subject to  the Singapore branch putting in place adequate safeguards to protect the confidentiality  and use of any information that is shared, the Singapore branch shall share customer,  account and transaction information within the bank’s financial group when necessary for  money laundering and terrorism financing risk management purposes.","[('Singapore', 'GPE'), ('Singapore', 'GPE'), ('Singapore', 'GPE'), ('Singapore', 'GPE')]"
"Training   15.14  A bank shall take all appropriate steps to ensure that its employees and officers (whether  in Singapore or elsewhere) are regularly and appropriately trained on -  (a)  AML/CFT laws and regulations, and in particular, CDD measures, and detecting  and reporting of suspicious transactions;   (b)  prevailing techniques, methods and trends in money laundering and terrorism  financing; and   (c)  the bank’s internal AML/CFT policies, procedures and control s, and the roles and  responsibilities of employees and officers in combating money laundering and  terrorism financing.","[('Singapore', 'GPE'), ('AML/CFT', 'LAW')]"
Banks in Singapore licensed under  the BA.,"[('Singapore', 'GPE')]"
Merchant banks in Singapore licensed under the BA .,"[('Singapore', 'GPE'), ('BA', 'WORK_OF_ART')]"
